id,age,gender,country,is_student,education_level,years_coding,years_ml,job_title,salary_usd
20378,25-34,man,India,No,unknown,none,unknown,unknown/unemployed,
20379,18-24,man,Ghana,Yes,no university,none,unknown,unknown/unemployed,
20380,25-34,man,Nigeria,No,university educated,none,unknown,data role,"under $30,000"
20381,18-24,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
20382,45-54,man,South Korea,No,unknown,10+ years,2-5 years,non data role,"under $30,000"
20383,18-24,other,Japan,Yes,university educated,3-10 years,5+ years,unknown/unemployed,
20384,18-24,woman,China,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
20385,25-34,man,Tunisia,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20386,25-34,man,Egypt,No,unknown,unknown,unknown,unknown/unemployed,
20387,25-34,man,Egypt,No,university educated,3-10 years,none,non data role,"under $30,000"
20388,25-34,man,Morocco,Yes,university educated,3-10 years,5+ years,unknown/unemployed,
20389,18-24,woman,India,Yes,unknown,unknown,unknown,unknown/unemployed,
20390,55+,man,Mexico,No,university educated,none,unknown,data role,
20391,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20392,45-54,man,Saudi Arabia,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20393,35-44,man,Japan,No,unknown,3-10 years,none,non data role,"under $30,000"
20394,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20395,35-44,man,Argentina,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
20396,25-34,man,Japan,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20397,25-34,woman,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20398,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20399,25-34,man,India,No,university educated,unknown,unknown,unknown/unemployed,
20400,45-54,man,India,No,no university,none,unknown,non data role,"under $30,000"
20401,25-34,man,Other,No,unknown,unknown,unknown,unknown/unemployed,
20402,18-24,man,South Korea,Yes,no university,3-10 years,0-2 years,unknown/unemployed,
20403,18-24,woman,India,Yes,university educated,none,unknown,unknown/unemployed,
20404,18-24,woman,Other,Yes,university educated,3-10 years,none,unknown/unemployed,
20405,35-44,woman,Portugal,No,university educated,none,unknown,unknown/unemployed,
20406,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20407,18-24,man,Kenya,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20408,35-44,woman,Other,No,unknown,0-3 years,none,data role,
20409,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20410,25-34,woman,Brazil,Yes,unknown,3-10 years,none,unknown/unemployed,
20411,25-34,man,Taiwan,No,university educated,3-10 years,2-5 years,unknown/unemployed,
20412,45-54,man,Argentina,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20413,18-24,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20414,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20415,35-44,man,United Arab Emirates,Yes,university educated,0-3 years,unknown,unknown/unemployed,
20416,18-24,man,Bangladesh,Yes,university educated,10+ years,0-2 years,unknown/unemployed,
20417,25-34,woman,United Kingdom of Great Britain and Northern Ireland,No,university educated,0-3 years,none,data role,"$30,000-$69,999"
20418,18-24,man,Nigeria,No,unknown,unknown,unknown,unknown/unemployed,
20419,18-24,man,India,Yes,no university,0-3 years,unknown,unknown/unemployed,
20420,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20421,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20422,18-24,man,India,No,no university,0-3 years,none,data role,"under $30,000"
20423,18-24,man,China,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20424,35-44,man,India,No,university educated,3-10 years,0-2 years,unknown/unemployed,
20425,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20426,35-44,man,Nigeria,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
20427,18-24,man,Pakistan,Yes,no university,none,unknown,unknown/unemployed,
20428,55+,man,United States of America,No,university educated,3-10 years,5+ years,data role,"$30,000-$69,999"
20429,35-44,man,"Iran, Islamic Republic of...",Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20430,18-24,man,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
20431,35-44,man,United States of America,No,university educated,3-10 years,0-2 years,data role,"$125,000+"
20432,35-44,woman,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20433,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"$30,000-$69,999"
20434,18-24,man,Cameroon,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20435,55+,man,South Korea,No,no university,0-3 years,unknown,unknown/unemployed,
20436,25-34,man,Other,No,university educated,0-3 years,none,data role,"under $30,000"
20437,25-34,man,United States of America,No,university educated,0-3 years,0-2 years,data role,"$30,000-$69,999"
20438,18-24,man,Germany,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20439,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20440,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20441,25-34,man,India,No,university educated,none,unknown,unknown/unemployed,
20442,45-54,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20443,45-54,man,Italy,No,university educated,3-10 years,none,data role,"$30,000-$69,999"
20444,25-34,man,India,No,unknown,0-3 years,0-2 years,non data role,"under $30,000"
20445,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20446,25-34,man,Brazil,No,university educated,3-10 years,0-2 years,non data role,"$70,000-$124,999"
20447,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20448,18-24,man,India,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
20449,18-24,man,Other,Yes,no university,0-3 years,none,unknown/unemployed,
20450,18-24,man,Bangladesh,Yes,university educated,0-3 years,unknown,unknown/unemployed,
20451,35-44,man,China,No,unknown,unknown,unknown,unknown/unemployed,
20452,35-44,woman,India,No,university educated,3-10 years,5+ years,non data role,
20453,45-54,woman,United States of America,No,university educated,3-10 years,0-2 years,non data role,"$125,000+"
20454,45-54,woman,Japan,No,unknown,3-10 years,0-2 years,non data role,
20455,25-34,man,Russia,No,university educated,3-10 years,none,non data role,"$30,000-$69,999"
20456,25-34,man,India,No,university educated,3-10 years,2-5 years,unknown/unemployed,
20457,55+,man,United States of America,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
20458,35-44,man,Other,Yes,university educated,0-3 years,unknown,unknown/unemployed,
20459,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20460,18-24,man,Egypt,Yes,university educated,0-3 years,unknown,unknown/unemployed,
20461,25-34,man,Other,Yes,no university,0-3 years,none,unknown/unemployed,
20462,18-24,woman,Russia,Yes,no university,0-3 years,none,unknown/unemployed,
20463,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20464,25-34,man,India,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
20465,25-34,man,Egypt,Yes,university educated,3-10 years,none,unknown/unemployed,
20466,25-34,man,United States of America,No,university educated,0-3 years,2-5 years,data role,
20467,18-24,woman,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20468,18-24,other,India,Yes,unknown,unknown,unknown,unknown/unemployed,
20469,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20470,18-24,man,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
20471,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20472,18-24,woman,Taiwan,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20473,25-34,man,India,No,unknown,unknown,unknown,unknown/unemployed,
20474,18-24,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20475,35-44,man,United States of America,No,university educated,10+ years,5+ years,unknown/unemployed,
20476,18-24,man,Other,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
20477,18-24,man,India,No,no university,none,unknown,non data role,"under $30,000"
20478,25-34,man,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20479,25-34,man,Pakistan,Yes,no university,0-3 years,unknown,unknown/unemployed,
20480,25-34,man,India,No,university educated,3-10 years,0-2 years,non data role,"$30,000-$69,999"
20481,18-24,man,Brazil,Yes,university educated,none,unknown,unknown/unemployed,
20482,45-54,man,United States of America,No,university educated,10+ years,none,non data role,
20483,35-44,woman,India,No,unknown,0-3 years,none,unknown/unemployed,
20484,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20485,25-34,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20486,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20487,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20488,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,
20489,25-34,woman,Pakistan,No,no university,0-3 years,none,non data role,"under $30,000"
20490,25-34,man,Pakistan,No,university educated,0-3 years,none,unknown/unemployed,
20491,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20492,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20493,45-54,man,Portugal,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
20494,18-24,woman,Bangladesh,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20495,25-34,man,Canada,No,university educated,10+ years,5+ years,data role,"$125,000+"
20496,25-34,woman,India,No,unknown,3-10 years,0-2 years,data role,
20497,45-54,man,Japan,No,no university,10+ years,0-2 years,unknown/unemployed,
20498,25-34,man,Kenya,No,university educated,0-3 years,0-2 years,unknown/unemployed,
20499,35-44,man,Peru,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
20500,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20501,45-54,man,Chile,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20502,18-24,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20503,18-24,woman,Nigeria,Yes,university educated,none,unknown,unknown/unemployed,
20504,25-34,man,United Arab Emirates,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20505,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20506,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20507,45-54,woman,Malaysia,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20508,18-24,woman,Viet Nam,Yes,university educated,0-3 years,none,unknown/unemployed,
20509,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20510,18-24,man,Mexico,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20511,25-34,other,China,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20512,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20513,25-34,man,Turkey,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
20514,45-54,man,Japan,No,no university,10+ years,0-2 years,non data role,"$30,000-$69,999"
20515,18-24,woman,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
20516,18-24,woman,Kenya,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20517,18-24,woman,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20518,25-34,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20519,25-34,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20520,25-34,woman,India,No,unknown,3-10 years,unknown,unknown/unemployed,
20521,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20522,25-34,man,Nigeria,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20523,25-34,man,Bangladesh,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
20524,25-34,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20525,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20526,25-34,man,France,No,unknown,10+ years,5+ years,data role,"$30,000-$69,999"
20527,35-44,man,South Korea,No,unknown,unknown,unknown,unknown/unemployed,
20528,25-34,woman,India,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
20529,35-44,other,United States of America,No,university educated,10+ years,0-2 years,non data role,"$125,000+"
20530,25-34,man,Brazil,No,university educated,3-10 years,2-5 years,non data role,"$30,000-$69,999"
20531,55+,man,United States of America,No,university educated,0-3 years,none,non data role,"$70,000-$124,999"
20532,25-34,man,Canada,Yes,university educated,none,unknown,unknown/unemployed,
20533,45-54,man,United States of America,No,university educated,10+ years,0-2 years,non data role,
20534,18-24,woman,Morocco,Yes,unknown,unknown,unknown,unknown/unemployed,
20535,25-34,man,Pakistan,Yes,university educated,0-3 years,unknown,unknown/unemployed,
20536,35-44,other,United States of America,No,university educated,0-3 years,none,non data role,"$70,000-$124,999"
20537,45-54,man,Other,No,unknown,10+ years,0-2 years,non data role,"$70,000-$124,999"
20538,35-44,man,Japan,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
20539,18-24,other,India,Yes,unknown,0-3 years,none,unknown/unemployed,
20540,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20541,25-34,man,Japan,No,university educated,none,unknown,non data role,"under $30,000"
20542,25-34,woman,Pakistan,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20543,35-44,man,Turkey,No,university educated,0-3 years,2-5 years,data role,
20544,18-24,man,Nigeria,Yes,no university,none,unknown,unknown/unemployed,
20545,25-34,man,Canada,No,university educated,10+ years,0-2 years,unknown/unemployed,
20546,25-34,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
20547,45-54,man,India,No,university educated,none,unknown,non data role,
20548,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20549,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20550,35-44,man,Argentina,No,no university,0-3 years,none,data role,"under $30,000"
20551,25-34,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20552,45-54,woman,Mexico,No,university educated,0-3 years,0-2 years,unknown/unemployed,
20553,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20554,45-54,man,Mexico,No,university educated,none,unknown,data role,"$70,000-$124,999"
20555,35-44,man,Other,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20556,45-54,man,Brazil,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20557,25-34,man,India,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
20558,55+,man,Japan,No,university educated,10+ years,0-2 years,non data role,"$70,000-$124,999"
20559,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20560,25-34,man,India,No,university educated,3-10 years,0-2 years,data role,
20561,35-44,woman,Turkey,No,university educated,10+ years,unknown,unknown/unemployed,
20562,35-44,woman,Poland,No,university educated,3-10 years,2-5 years,unknown/unemployed,
20563,55+,man,Mexico,No,unknown,unknown,unknown,unknown/unemployed,
20564,35-44,man,United States of America,No,university educated,10+ years,5+ years,data role,"$125,000+"
20565,45-54,man,United States of America,No,university educated,10+ years,0-2 years,non data role,"$125,000+"
20566,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20567,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20568,35-44,man,Turkey,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20569,18-24,man,Turkey,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20570,25-34,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20571,25-34,man,India,No,university educated,3-10 years,0-2 years,non data role,"$70,000-$124,999"
20572,25-34,man,United States of America,No,university educated,3-10 years,unknown,unknown/unemployed,
20573,25-34,man,Pakistan,Yes,university educated,0-3 years,none,unknown/unemployed,
20574,18-24,man,Other,Yes,university educated,0-3 years,none,unknown/unemployed,
20575,18-24,man,India,No,university educated,3-10 years,0-2 years,data role,
20576,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20577,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20578,55+,other,India,No,university educated,0-3 years,2-5 years,data role,
20579,18-24,man,China,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20580,35-44,man,India,No,university educated,10+ years,2-5 years,non data role,"$30,000-$69,999"
20581,35-44,woman,Brazil,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20582,25-34,man,Other,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20583,35-44,man,Other,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20584,25-34,woman,Turkey,No,university educated,0-3 years,0-2 years,data role,
20585,18-24,man,Brazil,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20586,25-34,man,Nigeria,Yes,university educated,0-3 years,none,unknown/unemployed,
20587,25-34,man,India,No,unknown,0-3 years,0-2 years,unknown/unemployed,
20588,18-24,man,Malaysia,Yes,university educated,0-3 years,none,unknown/unemployed,
20589,45-54,man,Singapore,No,university educated,3-10 years,5+ years,non data role,"$70,000-$124,999"
20590,18-24,man,Other,No,no university,3-10 years,2-5 years,non data role,"under $30,000"
20591,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20592,35-44,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20593,55+,man,United States of America,No,university educated,10+ years,5+ years,data role,"$125,000+"
20594,18-24,man,India,No,university educated,0-3 years,none,unknown/unemployed,
20595,35-44,man,Other,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
20596,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20597,18-24,man,Mexico,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20598,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20599,25-34,man,Kenya,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20600,55+,man,United States of America,No,university educated,none,unknown,unknown/unemployed,
20601,18-24,man,Russia,Yes,university educated,3-10 years,unknown,unknown/unemployed,
20602,45-54,woman,United States of America,No,university educated,3-10 years,unknown,unknown/unemployed,
20603,35-44,man,India,No,university educated,3-10 years,2-5 years,data role,
20604,25-34,man,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
20605,45-54,woman,Ukraine,No,university educated,10+ years,none,non data role,"under $30,000"
20606,25-34,man,China,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
20607,18-24,woman,Russia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20608,35-44,man,Other,No,university educated,10+ years,5+ years,data role,"under $30,000"
20609,25-34,man,India,No,unknown,unknown,unknown,unknown/unemployed,
20610,25-34,man,Kenya,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20611,25-34,man,Italy,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20612,18-24,woman,India,Yes,university educated,none,unknown,unknown/unemployed,
20613,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20614,45-54,man,United States of America,No,university educated,3-10 years,2-5 years,non data role,"$125,000+"
20615,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20616,25-34,woman,India,Yes,university educated,10+ years,0-2 years,unknown/unemployed,
20617,25-34,woman,Indonesia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20618,18-24,man,Other,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
20619,18-24,man,Thailand,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
20620,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20621,35-44,man,India,No,university educated,10+ years,0-2 years,data role,"$125,000+"
20622,45-54,man,United States of America,No,university educated,10+ years,2-5 years,data role,"$125,000+"
20623,25-34,man,Brazil,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
20624,35-44,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20625,35-44,man,Other,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20626,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20627,18-24,man,Pakistan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20628,35-44,man,United States of America,Yes,university educated,3-10 years,5+ years,unknown/unemployed,
20629,25-34,man,China,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
20630,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20631,25-34,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20632,18-24,woman,Bangladesh,Yes,university educated,none,unknown,unknown/unemployed,
20633,55+,man,South Korea,No,unknown,0-3 years,0-2 years,data role,"under $30,000"
20634,25-34,man,India,No,no university,0-3 years,0-2 years,unknown/unemployed,
20635,25-34,man,India,No,university educated,none,unknown,non data role,"under $30,000"
20636,55+,man,Japan,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
20637,18-24,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20638,25-34,man,Netherlands,No,university educated,0-3 years,2-5 years,data role,
20639,18-24,man,Turkey,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20640,45-54,man,India,No,university educated,10+ years,5+ years,non data role,"under $30,000"
20641,18-24,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
20642,25-34,man,United Kingdom of Great Britain and Northern Ireland,Yes,university educated,3-10 years,none,unknown/unemployed,
20643,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20644,18-24,woman,Kenya,Yes,university educated,0-3 years,none,unknown/unemployed,
20645,35-44,man,United States of America,No,university educated,10+ years,5+ years,non data role,"$125,000+"
20646,18-24,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
20647,18-24,woman,Other,Yes,unknown,unknown,unknown,unknown/unemployed,
20648,45-54,man,Brazil,No,university educated,10+ years,5+ years,non data role,"$70,000-$124,999"
20649,45-54,woman,United States of America,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
20650,35-44,man,Hong Kong (S.A.R.),Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20651,18-24,man,Chile,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20652,18-24,man,India,No,university educated,0-3 years,unknown,unknown/unemployed,
20653,25-34,man,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
20654,35-44,man,Kenya,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20655,18-24,man,India,No,university educated,none,unknown,non data role,"under $30,000"
20656,25-34,other,Canada,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20657,25-34,man,Peru,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
20658,55+,man,United States of America,No,unknown,10+ years,none,data role,"under $30,000"
20659,25-34,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
20660,18-24,woman,South Korea,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20661,18-24,man,India,No,unknown,0-3 years,0-2 years,unknown/unemployed,
20662,25-34,man,Other,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20663,25-34,man,United States of America,Yes,university educated,10+ years,5+ years,unknown/unemployed,
20664,45-54,other,United States of America,No,university educated,none,unknown,unknown/unemployed,
20665,25-34,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20666,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20667,45-54,man,India,No,university educated,3-10 years,5+ years,data role,"$70,000-$124,999"
20668,35-44,woman,Mexico,Yes,no university,3-10 years,2-5 years,unknown/unemployed,
20669,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20670,18-24,man,Algeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20671,18-24,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20672,35-44,man,United States of America,No,university educated,10+ years,5+ years,non data role,"$125,000+"
20673,35-44,man,Spain,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20674,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20675,25-34,man,Cameroon,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20676,18-24,woman,Pakistan,Yes,university educated,none,unknown,unknown/unemployed,
20677,45-54,woman,United States of America,No,university educated,none,unknown,non data role,"$30,000-$69,999"
20678,25-34,man,South Korea,Yes,university educated,0-3 years,none,unknown/unemployed,
20679,25-34,man,India,No,university educated,none,unknown,non data role,"under $30,000"
20680,18-24,woman,India,Yes,university educated,none,unknown,unknown/unemployed,
20681,18-24,woman,Viet Nam,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20682,35-44,woman,United States of America,No,university educated,none,unknown,unknown/unemployed,
20683,18-24,man,Thailand,No,no university,0-3 years,0-2 years,non data role,"under $30,000"
20684,18-24,man,United States of America,Yes,no university,0-3 years,2-5 years,unknown/unemployed,
20685,45-54,man,Nigeria,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20686,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20687,25-34,man,Saudi Arabia,Yes,no university,3-10 years,0-2 years,unknown/unemployed,
20688,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20689,18-24,man,Viet Nam,Yes,unknown,0-3 years,none,unknown/unemployed,
20690,18-24,woman,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
20691,25-34,man,Turkey,Yes,university educated,0-3 years,none,unknown/unemployed,
20692,25-34,man,India,No,university educated,0-3 years,none,data role,"under $30,000"
20693,35-44,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20694,55+,man,United States of America,No,university educated,10+ years,0-2 years,data role,"$125,000+"
20695,18-24,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20696,18-24,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
20697,45-54,woman,United States of America,No,university educated,3-10 years,2-5 years,unknown/unemployed,
20698,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20699,55+,man,Japan,No,university educated,0-3 years,0-2 years,data role,
20700,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20701,18-24,woman,Indonesia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20702,18-24,man,China,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20703,25-34,man,United States of America,No,university educated,0-3 years,0-2 years,data role,"$30,000-$69,999"
20704,45-54,man,United States of America,No,university educated,10+ years,2-5 years,data role,
20705,35-44,man,United States of America,No,university educated,10+ years,0-2 years,non data role,"$125,000+"
20706,35-44,man,Turkey,No,university educated,10+ years,5+ years,non data role,"$70,000-$124,999"
20707,35-44,woman,Thailand,No,unknown,0-3 years,none,non data role,"under $30,000"
20708,25-34,man,Pakistan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20709,25-34,man,United States of America,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
20710,35-44,man,Japan,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
20711,18-24,man,Bangladesh,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20712,18-24,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20713,45-54,man,India,No,university educated,10+ years,0-2 years,non data role,"$30,000-$69,999"
20714,45-54,man,Other,No,university educated,10+ years,0-2 years,non data role,"$70,000-$124,999"
20715,18-24,woman,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20716,25-34,man,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
20717,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
